date, pm25, pm10, o3, no2, so2, co
2024/8/21, 92, 65, 14, 13, 5, 6
2024/8/22, 98, 65, 9, 16, 1, 6
2024/8/23, 101, 76, 10, 13, 1, 6
2024/8/24, 124, 43, 8, 10, 1, 5
2024/8/25, 74, 44, 8, 10, 1, 5
2024/8/26, 78, 45, 7, 10, 2, 4
2024/8/27, 59, 40, 8, 12, 1, 4
2024/8/28, 64, 47, 13, 14, 1, 6
2024/8/29, 75, 79, 14, 15, 1, 6
2024/8/30, 121, 77, 10, 14, 1, 5
2024/8/31, 107, 82, 10, 12, 2, 5
2024/9/1, 134, 55, 8, 10, 1, 4
2024/9/2, 82, 59, 9, 11, 1, 5
2024/9/3, 94, 42, 7, 12, 1, 6
2024/9/4, 67, 68, 23, 15, 1, 7
2024/9/5, 123, 48, 5, 12, 1, 6
2024/9/6, 79, 55, 9, 13, 1, 6
2024/9/7, 88, 86, 10, 14, 1, 6
2024/9/8, 146, 83, 14, 15, 1, 7
2024/9/9, 134, 66, 12, 16, 1, 6
2024/9/10, 102, 70, 7, 16, 2, 8
2024/9/11, 101, 22, 9, 11, 1, 6
2024/9/12, 42, 28, 5, 13, 1, 5
2024/9/13, 57, 68, 10, 13, 3, 5
2024/9/14, 89, 98, 8, 14, 1, 5
2024/9/15, 113, 134, 9, 15, 1, 7
2024/9/16, 139, 127, 10, 16, 1, 10
2024/9/17, 147, 59, 5, 15, , 9
2024/9/18, 112, 52, 7, 16, 1, 8
2024/9/19, 91, 75, 12, 15, 1, 11
2024/9/20, 98, 94, 12, 16, 1, 17
2024/9/21, 115, 126, 11, 15, 1, 24
2024/9/22, 167, 141, 12, 14, 1, 16
2024/9/23, 180, 142, 13, 15, , 15
2024/9/24, 180, 121, 7, 15, 1, 16
2024/9/25, 156, 60, 4, 14, 1, 11
2024/9/26, 73, 50, 12, 13, 1, 13
2024/9/27, 41, 45, 20, 14, 1, 15
2024/9/28, 41, 55, 20, 14, 1, 7
2024/9/29, 67, 111, 36, 14, 1, 7
2024/9/30, 156, 112, 23, 15, , 9
2024/4/1, 70, , , , , 
2024/4/3, 117, 104, 7, 38, 4, 5
2024/4/4, 132, 86, 4, 16, 4, 5
2024/4/5, 72, , , , , 
2024/4/7, 378, 134, 1, 29, 6, 9
2024/4/8, 363, 135, 15, 24, 7, 9
2024/4/9, 131, 142, 15, 25, 5, 7
2024/4/10, 143, 191, 12, 24, 5, 7
2024/4/11, 143, , , , , 
2024/4/13, 137, 109, 15, 15, 5, 6
2024/4/14, 123, 157, 19, 17, 8, 13
2024/4/15, 157, 164, 10, 19, 5, 10
2024/4/16, 151, 106, 11, 22, 6, 5
2024/4/17, 103, 121, 12, 20, 6, 6
2024/4/18, 113, 151, 10, 21, 6, 6
2024/4/19, 137, 182, 10, 17, 7, 6
2024/4/20, 164, 120, 14, 19, 8, 7
2024/4/21, 107, 99, 41, 15, 8, 6
2024/4/22, 88, 149, 47, 16, 5, 6
2024/4/23, 127, 126, 42, 18, 6, 8
2024/4/24, 127, 125, 31, 17, 6, 8
2024/4/25, 98, , , , , 
2024/4/27, 134, 136, 31, 15, 5, 6
2024/4/28, 126, 195, 22, 18, 4, 6
2024/4/29, 145, 136, 23, 16, 3, 6
2024/4/30, 127, 147, 19, 18, 3, 6
2024/5/1, 110, 134, 23, 17, 3, 5
2024/5/2, 129, 141, 22, 17, 1, 6
2024/5/3, 135, 154, 20, 19, 2, 6
2024/5/4, 156, 261, 17, 25, 3, 15
2024/5/5, 176, 199, 16, 20, 4, 7
2024/5/6, 151, 221, 16, 15, 1, 6
2024/5/7, 162, 157, 11, 11, 2, 9
2024/5/8, 131, 106, 12, 11, 3, 4
2024/5/9, 87, 122, 12, 12, 2, 6
2024/5/10, 115, 109, 64, 7, 1, 6
2024/5/11, 94, , , , , 
2024/5/13, 163, 163, 42, 24, 1, 11
